Product,Sensor 8 in,Sensor 8 out,Sensor 7 in,Sensor 7 out,Sensor 6 in,Sensor 6 out,Sensor 5 in,Sensor 5 out,Sensor 4 in,Sensor 4 out,Sensor 3 in,Sensor 3 out,Sensor 2 in,Sensor 2 out,Sensor 1 in,Sensor 1 out
1,,,,,,,,,,,,,,,2022-04-11 06:58:37.360000,2022-04-11 06:58:42.020000
2,,,,,,,,,,,,,,,2022-04-11 07:04:47.210000,2022-04-11 07:04:51.740000
3,,,,,,,,,,,,,,,2022-04-11 07:10:51.860000,2022-04-11 07:10:55.720000
4,,,,,,,,,,,,,,,2022-04-11 07:16:59.540000,2022-04-11 07:16:59.580000
5,,,,,,,,,,,,,,,2022-04-11 07:16:59.790000,2022-04-11 07:16:59.850000
6,,,,,,,,,,,,,,,2022-04-11 07:16:59.880000,2022-04-11 07:17:03.550000
7,,,,,,,,,,,,,,,2022-04-11 07:23:12.040000,2022-04-11 07:23:12.080000
8,,,,,,,,,,,,,,,2022-04-11 07:23:12.110000,2022-04-11 07:23:15.720000
9,,,,,,,,,,,,,,,2022-04-11 07:29:25.940000,2022-04-11 07:29:26.580000
10,,,,,,,,,,,,,,,2022-04-11 07:35:27.290000,2022-04-11 07:35:27.480000
11,,,,,,,,,,,,,,,2022-04-11 07:35:27.500000,2022-04-11 07:35:30.930000
12,,,,,,,,,,,,,,,2022-04-11 07:39:30.320000,2022-04-11 07:39:34.250000
13,,,,,,,,,,,,,,,2022-04-11 07:42:35.260000,2022-04-11 07:42:39.070000
14,,,,,,,,,,,,,,,2022-04-11 07:45:43.310000,2022-04-11 07:45:48.480000
15,,,,,,,,,,,,,,,2022-04-11 07:48:48.940000,2022-04-11 07:48:48.990000
16,,,,,,,,,,,,,,,2022-04-11 07:48:49.020000,2022-04-11 07:48:52.660000
17,,,,,,,,,,,,,,,2022-04-11 07:48:52.740000,2022-04-11 07:48:52.790000
18,,,,,,,,,,,,,,,2022-04-11 07:51:56.870000,2022-04-11 07:52:00.420000
19,,,,,,,,,,,,,,,2022-04-11 07:55:02.390000,2022-04-11 07:55:06.840000
20,,,,,,,,,,,,,,,2022-04-11 07:58:08.080000,2022-04-11 07:58:08.210000
21,,,,,,,,,,,,,,,2022-04-11 07:58:08.250000,2022-04-11 07:58:12.000000
22,,,,,,,,,,,,,,,2022-04-11 08:01:12.000000,2022-04-11 08:01:15.680000
23,,,,,,,,,,,,,,,2022-04-11 08:04:21.580000,2022-04-11 08:04:25.890000
24,,,,,,,,,,,,,,,2022-04-11 08:09:41.720000,2022-04-11 08:09:44.990000
25,,,,,,,,,,,,,,,2022-04-11 08:12:59.530000,2022-04-11 08:12:59.610000
26,,,,,,,,,,,,,,,2022-04-11 08:12:59.960000,2022-04-11 08:13:03.680000
27,,,,,,,,,,,,,,,2022-04-11 08:16:03.020000,2022-04-11 08:16:06.900000
28,,,,,,,,,,,,,,,2022-04-11 08:22:18.620000,2022-04-11 08:22:22.250000
29,,,,,,,,,,,,,,,2022-04-11 08:25:28.330000,2022-04-11 08:25:32.560000
30,,,,,,,,,,,,,,,2022-04-11 08:28:34.100000,2022-04-11 08:28:37.680000
31,,,,,,,,,,,,,,,2022-04-11 08:31:42.380000,2022-04-11 08:31:46.140000
32,,,,,,,,,,,,,,,2022-04-11 08:42:41.360000,2022-04-11 08:42:41.420000
33,,,,,,,,,,,,,,,2022-04-11 08:42:41.450000,2022-04-11 08:42:45.240000
34,,,,,,,,,,,,,,,2022-04-11 08:46:00.140000,2022-04-11 08:46:00.270000
35,,,,,,,,,,,,,,,2022-04-11 08:46:00.310000,2022-04-11 08:46:04.050000
36,,,,,,,,,,,,,,,2022-04-11 08:49:41.940000,2022-04-11 08:49:43.730000
37,,,,,,,,,,,,,,,2022-04-11 08:52:48.320000,2022-04-11 08:52:52.030000
38,,,,,,,,,,,,,,,2022-04-11 08:52:52.050000,2022-04-11 08:52:52.090000
